t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
9.090000000000021,"[1.0452104272079907, -0.2537775292790053, -0.0017791905593214136]","[0.9372819894918626, 0.34857204732189295, 0.0]","[1.0651804614587677, 0.1963770246164653, 0.0010153161275470053]","[-1.4600951774842834, 3.926077616706215, 0.0]","[-0.9765818315500622, 0.2111265584932453, 0.041394475092558405, -4.115296769649738e-06]","[[0.9972671546435576, 0.015661366728436484, -0.07220071925777626], [0.015677446037866572, 0.9101558019158872, 0.4139693635096425], [0.07219722955122711, -0.4139699721369246, 0.9074229566272178]]","[0.3571983451077199, -1.723152791855269, -0.3876681799664771]",[10.809511771322516],"[0.9758903728208314, -0.20265389762909722, -0.08105169962039195, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.64416854826518, 50.212892303872735, 52.326908851622875, 53.69312509804698]"
9.095000000000022,"[1.0505363295152845, -0.252795644155923, -0.0017741139786836785]","[0.9297764858882187, 0.36812455268476046, 0.0]","[1.0608106145783989, 0.2186643018451133, 0.0010093520281824616]","[-1.5419965204272963, 3.8946386367292822, 0.0]","[-0.9765821385564826, 0.2102122058543483, 0.045805623512486134, -4.114393711799178e-06]","[[0.9965729948297519, 0.01747090828573909, -0.08085192230077656], [0.017486983981965794, 0.9108511525637253, 0.4123643816632905], [0.08084844690699994, -0.41236506306548903, 0.9074241474612198]]","[0.39320355334012574, -1.715298532590589, -0.3876662723911152]",[10.809506455795843],"[0.9758906952681596, -0.2009109711505498, -0.08527679966069847, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.607594058876685, 50.220634463004224, 52.36302471393917, 53.68579149263561]"
9.100000000000023,"[1.0558403825881766, -0.2517023226466974, -0.0017690672185427662]","[0.9218631515884667, 0.3875155864521836, 0.0]","[1.055975112002668, 0.2408550504658535, 0.001003427992239618]","[-1.6232214927329602, 3.8614913395272805, 0.0]","[-0.9765824475659131, 0.2092056831882038, 0.050196665337515683, -4.1135140326791796e-06]","[[0.9958036896754084, 0.019249766231367166, -0.08946763732702948], [0.019265838405006893, 0.9116216569858419, 0.4105785941630915], [0.08946417774391782, -0.4105793480125689, 0.907425346728963]]","[0.4290364650497714, -1.7066919783176826, -0.38766433686126056]",[10.809500999911133],"[0.9758910183646048, -0.19907995062545272, -0.08946448197056767, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.57115879874216, 50.229162348159115, 52.3989500140427, 53.677722262538126]"
9.105000000000024,"[1.06112025814819, -0.25049804739436815, -0.001764050078581568]","[0.913545457642563, 0.4067366430758854, 0.0]","[1.0506760765290573, 0.2629395404941222, 0.000997543836127048]","[-1.703734466443967, 3.8266502646002682, 0.0]","[-0.9765827584231982, 0.2081074315625003, 0.05456567476063001, -4.112657909007084e-06]","[[0.9949605895441449, 0.02099482096020493, -0.09804408573094321], [0.021010889702613455, 0.9124659642096717, 0.40861278329589557], [0.09804064344888917, -0.4086136092346446, 0.9074265538215007]]","[0.4646813637468001, -1.6973368987627224, -0.38766237440315815]",[10.809495410365713],"[0.9758913419632461, -0.1971616387547148, -0.09361290981873152, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.53487908280591, 50.23847183029641, 52.43466942423712, 53.668920604142706]"
9.110000000000024,"[1.0663736385308353, -0.24918334969189754, -0.0017590623594009327]","[0.9048270524659774, 0.42577929156516225, 0.0]","[1.0449158342604028, 0.2849080885260821, 0.0009916993737586275]","[-1.7835001259090404, 3.7901306943952275, 0.0]","[-0.976583070973981, 0.20691793227807873, 0.05891073562506021, -4.11182550439148e-06]","[[0.9940451742420066, 0.022703012150208462, -0.10657750609526696], [0.02271907755342938, 0.9133825938230908, 0.4064678103074392], [0.1065740825965696, -0.4064687079472547, 0.907427768132753]]","[0.5001226151748385, -1.6872373919703914, -0.3876603860452826]",[10.809489693830178],"[0.9758916659185032, -0.1951568765312699, -0.09772026367835479, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.49877119145986, 50.24855840303188, 52.470167735139235, 53.65939000644053]"
9.115000000000025,"[1.0715982177021373, -0.24775880924926713, -0.0017541038625321396]","[0.8957117602393663, 0.4446351791850214, 0.0]","[1.0386969135850221, 0.3067510619860627, 0.0009858944165888927]","[-1.8624834832736592, 3.7519486476026334, 0.0]","[-0.9765833850647674, 0.20563770665841724, 0.06322994226477327, -4.111016969375436e-06]","[[0.9930590504224144, 0.02437134413067924, -0.11506415584097772], [0.02438740628739279, 0.9143699385697147, 0.4041446150260943], [0.1150607525992527, -0.40414558394875516, 0.9074289890597574]]","[0.5353446741697644, -1.676397882516654, -0.38765837281783383]",[10.809483856945752],"[0.9758919900861859, -0.19306654287175734, -0.10178474202537234, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.46285136288937, 50.25941718554559, 52.50542986145546, 53.6491342500508]"
9.120000000000026,"[1.0767917022700624, -0.24622505393933683, -0.0017491743904491952]","[0.8862035792311668, 0.4632960351199535, 0.0]","[1.0320220440681176, 0.3284588833517212, 0.000980128773649651]","[-1.9406498938268328, 3.7121208721301513, 0.0]","[-0.9765837005429876, 0.2042673158215569, 0.06752140034038422, -4.110232441523749e-06]","[[0.992003948768586, 0.025996891137208183, -0.1235003128689674], [0.02601295014068023, 0.9154262671667326, 0.4016442154521343], [0.12349693134856093, -0.40164525520959676, 0.9074302160029204]]","[0.5703320914804364, -1.6648231195778562, -0.3876563357522277]",[10.809477906321542],"[0.9758923143235482, -0.19089155423153642, -0.10580456212894344, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.42713578537277, 50.27104292558743, 52.54044084774265, 53.638157406206396]"
9.125000000000027,"[1.081951812490403, -0.2445827595225782, -0.001744273746580947]","[0.8763066800438143, 0.48175367410180486, 0.0]","[1.0248941552549378, 0.35002203435507095, 0.0009744022515880224]","[-2.0179650711974952, 3.670664837756411, 0.0]","[-0.9765840172570587, 0.2028073604345664, 0.07178322767012525, -4.109472045502029e-06]","[[0.9908817209583591, 0.027576802444070424, -0.13188227719281043], [0.027592858388101764, 0.9165497273403246, 0.39896770731269815], [0.1318789188482175, -0.39896881742729884, 0.9074314483662598]]","[0.6050695205472313, -1.6525181748575377, -0.3876542758805992]",[10.80947184853197],"[0.9758926384893376, -0.1886328642032341, -0.10977796083369072, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.39164058954489, 50.283430002789785, 52.57518587402372, 53.626463835623255]"
9.130000000000027,"[1.0870762832666778, -0.24283264935080287, -0.001739401735323007]","[0.8660254037843846, 0.5000000000000936, 0.0]","[1.017316375386222, 0.37143106015753485, 0.0009687146547053494]","[-2.0943951023935874, 3.627598728468209, 0.0]","[-0.9765843350564436, 0.2012584804506528, 0.07601355505550703, -4.1087358931702306e-06]","[[0.9896943364167424, 0.02910830736506526, -0.1402063725618946], [0.02912436034394127, 0.9177383490733522, 0.39611626358264335], [0.14020303883718127, -0.3961174435473131, 0.9074326855576457]]","[0.6395417242364672, -1.639488440371364, -0.38765219423530406]",[10.809465690114099],"[0.9758929624438459, -0.18629146309897432, -0.11370319533336701, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.356381840619854, 50.29657243212954, 52.60965026134735, 53.614058187315116]"
9.135000000000028,"[1.0921628651436088, -0.2409754940500152, -0.0017345581620494801]","[0.8553642601604476, 0.5180270093732275, 0.0]","[1.0092920300264918, 0.39267657349719154, 0.0009630657849968816]","[-2.169906462677363, 3.582941434484441, 0.0]","[-0.976584653791711, 0.19962135482903204, 0.08021052710130934, -4.108024083672305e-06]","[[0.9884438788618837, 0.030588720114026458, -0.14846894807420224], [0.030604770222467072, 0.9189900480596253, 0.39309113397149803], [0.14846564040243254, -0.39309238324998613, 0.9074339269890355]]","[0.6737335815272273, -1.6257396260913268, -0.38765009184842186]",[10.80945943756501],"[0.9758932860489593, -0.18386837751648472, -0.11757854393561533, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.321375530585115, 50.310463867640664, 52.64381947723506, 53.60094539730412]"
9.140000000000029,"[1.0972093252937414, -0.23901211118252924, -0.0017297428331244956]","[0.844327925501951, 0.5358267949790977, 0.0]","[1.0008246406057888, 0.4137492588063965, 0.0009574554421929959]","[-2.2444660302705297, 3.536712543970186, 0.0]","[-0.9765849733145935, 0.19789670123768088, 0.08437230302954063, -4.107336703518568e-06]","[[0.9871325426505086, 0.032015444516473285, -0.1566663797780322], [0.03203149184958337, 0.9203026293586918, 0.3898936443767309], [0.15666309958069916, -0.38989496240383925, 0.9074351720767038]]","[0.7076300941470649, -1.611277757450598, -0.3876479697512745]",[10.809453097339382],"[0.9758936091682034, -0.18136466988928343, -0.1214023068174941, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.28663757037128, 50.325097606385626, 52.677679140997725, 53.587130687233255]"
9.14500000000003,"[1.1022134484967703, -0.23694336488849727, -0.0017249555559135307]","[0.832921240710034, 0.5533915492434427, 0.0]","[0.9919179228754988, 0.43463987629797063, 0.0009518834238011542]","[-2.3180411008824984, 3.488932334444718, 0.0]","[-0.9765852934780438, 0.19608527573910087, 0.08849705748700964, -4.1066738266948556e-06]","[[0.9857626289292424, 0.03338597856413416, -0.16479507226195847], [0.03340202321735416, 0.9216737912447478, 0.38652519630357934], [0.16479182094842046, -0.38652658248540733, 0.9074364202414709]]","[0.7412163931547697, -1.596109172709518, -0.38764582897394617]",[10.80944667584696],"[0.9758939316667906, -0.17878143802111562, -0.12517280677142056, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.25218378198514, 50.34046659256522, 52.71121502899721, 53.57261956292807]"
9.15000000000003,"[1.1071730381111478, -0.2347701655070074, -0.001720196138794525]","[0.8211492091336332, 0.5707135676845336, 0.0]","[0.982575785278939, 0.4553392660181646, 0.0009463495251495302]","[-2.390599402055669, 3.439621763887054, 0.0]","[-0.9765856141362907, 0.1941878724592303, 0.09258298134615368, -4.1060355147670925e-06]","[[0.9843365415985523, 0.03469791880435017, -0.1728514602323286], [0.03471396087340722, 0.9231011292429121, 0.38298726625168644], [0.1728482391992499, -0.38298871996588535, 0.9074376709089234]]","[0.774477745466136, -1.5802405201844656, -0.3876436705448137]",[10.80944017945026],"[0.9758942534116619, -0.1761198146048732, -0.12888838994121996, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.218029890643585, 50.35656342190337, 52.74441307976972, 53.55741781282812]"
9.155000000000031,"[1.1120859170375426, -0.2324934691769166, -0.0017154643911687774]","[0.8090169943748752, 0.5877852522925725, 0.0]","[0.972802327237421, 0.4758383518646207, 0.0009408535394305395]","[-2.462109107321025, 3.3888024615432037, 0.0]","[-0.9765859351448929, 0.19220532323964967, 0.0966282824987723, -4.105421816998441e-06]","[[0.9828567830963967, 0.035948964556654674, -0.1808320100776062], [0.035965004137514085, 0.9245821403457966, 0.3792814050688153], [0.18082882070840278, -0.37928292566485317, 0.9074389235096312]]","[0.8073995603216032, -1.563678755339858, -0.38764149549007065]",[10.80943361446198],"[0.9758945742715353, -0.1733809667261642, -0.1325474265479325, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.184191516867166, 50.37338034612407, 52.77725939911444, 53.54153150639185]"
9.160000000000032,"[1.1169499286737297, -0.2301142774175935, -0.0017107601234716246]","[0.7965299180241185, 0.6045991148624773, 0.0]","[0.9626018373525431, 0.4961281455675699, 0.0009353952577461898]","[-2.532538850158467, 3.336496718438734, 0.0]","[-0.9765862563607924, 0.1901384972732299, 0.10063118664231636, -4.104832770450763e-06]","[[0.9813259500089662, 0.03713692194912879, -0.18873322141887158], [0.03715295913794606, 0.9261142274029748, 0.37540923727192116], [0.18873006508316212, -0.37541082407135756, 0.9074401774793587]]","[0.8399673956903099, -1.5464311377460591, -0.3876393048332759]",[10.809426987142908],"[0.975894894116942, -0.17056609535181372, -0.136148311605097, 0.0]",[0.5],"[10.0, 0.0, 0.0]","[51.15068416860205, 50.39090927779385, 52.80974026497445, 53.52496699232908]"
