t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
2.079999999999978,"[-0.15286510904271008, 0.310678795162695, 0.8130226134091483]","[-0.358367949545343, 0.6691306063589262, 0.0]","[7.3979017817355786, 8.83449369791242, 21.81088249878106]","[1.9552862729458553, -3.112877765697144, 0.0]","[0.5872197939497823, -0.7023629614529877, 0.40231421724547983, -0.0015667082438124529]","[[0.7240526542808225, -0.4667747138020926, 0.507808153128591], [-0.4902259547033316, 0.16965059919211345, 0.854925252597538], [-0.48520744755630346, -0.8679516350285491, -0.1059891130596235]]","[-37.358765785838074, 17.261097791550885, 1.1803202826653534]",[0.0],"[0.20744604134679398, 0.8150684188930478, -0.5409525048030847, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[230.78337750307455, 0.0, 204.6276948889196, 71.67318221985839]"
2.0849999999999778,"[-0.1158756001340322, 0.35485126365225705, 0.9220770259030535]","[-0.3485720473218587, 0.6534206039901757, 0.0]","[7.655726308511176, 9.28183403798191, 21.593274628980335]","[1.963038808353134, -3.1708934741855517, 0.0]","[0.5016149043415835, -0.7519800333618171, 0.4276141489912092, 0.007393020361700197]","[[0.6762816320548712, -0.5633012059341296, 0.47469453919163085], [-0.5669812143025734, 0.013367631608535435, 0.8236222490032414], [-0.47029294782420317, -0.8261434850062872, -0.3103409180377081]]","[-36.16125369125787, 16.06535270513036, 1.3496749012598996]",[0.0],"[0.21784998580388198, 0.8150467228919548, -0.5368800826891732, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[233.03420468600828, 0.0, 205.78505701200737, 109.43089575527593]"
2.0899999999999777,"[-0.07759696859147631, 0.4012604338421666, 1.0300433990479552]","[-0.33873792024533567, 0.6374239897487622, 0.0]","[7.917394040520096, 9.758192267738636, 21.23322658260393]","[1.97057607443364, -3.2275183239971725, 0.0]","[0.41440909835509226, -0.7923099184051675, 0.4474431643709371, 0.01745586019188946]","[[0.634182965664911, -0.6505315024518483, 0.4178764534861943], [-0.6356977056457298, -0.13105725464981594, 0.7607315052240234], [-0.4401140682791379, -0.748086064782251, -0.49665566198463107]]","[-34.22476767249066, 14.845616710629912, 1.522689235545751]",[13.92612305238009],"[0.22942716423364862, 0.8148739940542542, -0.532300244341268, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[242.9705612575341, 0.0, 216.4193468541957, 139.15768102290335]"
2.0949999999999775,"[-0.03800999838887583, 0.4500513951808598, 1.1362095319609749]","[-0.3288666467386275, 0.6211477802783838, 0.0]","[8.184111959650787, 10.280689821691567, 20.674410045774927]","[1.977897244641211, -3.2827274776014153, 0.0]","[0.3285166236453983, -0.8231340035236088, 0.4623363579576181, 0.027790867966093667]","[[0.5989798152053677, -0.7234950486736414, 0.34318813429556294], [-0.6945595795411076, -0.2561194277164841, 0.6723018884503159], [-0.3985099389528748, -0.6410598671660132, -0.6559207842909615]]","[-30.940265653499537, 13.645105897755172, 1.7021799483561264]",[54.298506139443894],"[0.2426893894210365, 0.8145942757771546, -0.5268187792149568, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[259.41808410734035, 0.0, 235.14385859123712, 181.23195134939974]"
2.0999999999999774,"[0.002910561409378107, 0.5014548442893176, 1.2395815821898495]","[-0.31895930929811495, 0.6045991148624505, 0.0]","[8.401442324930276, 10.757874721968422, 19.96616593804537]","[1.9850015161270305, -3.3364967184388195, 0.0]","[0.24806971474357084, -0.8445055513849722, 0.47320392446540854, 0.03674011673284687]","[[0.5709455195363526, -0.7793890788251489, 0.2580191417888405], [-0.7428700303755643, -0.35664384019822587, 0.5665238646504399], [-0.3495215754301472, -0.5151289499307409, -0.7826089912926375]]","[-26.585414170706777, 12.518484403612899, 1.864907194607627]",[88.9663684846888],"[0.258610237553861, 0.8141903517178363, -0.5198219081588634, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[260.9390282183756, 0.0, 238.37567305857254, 208.6828091336888]"
2.1049999999999773,"[0.04491777303402949, 0.5552442178991598, 1.3394124118800763]","[-0.30901699437499236, 0.5877852522925495, 0.0]","[8.54331952753737, 11.130607870930925, 19.199006497654917]","[1.9918881098276733, -3.388802461543274, 0.0]","[0.1764826103860708, -0.8576163674597268, 0.48116115313777774, 0.04280185986175387]","[[0.5494564193859854, -0.8174749028515109, 0.17272066003650216], [-0.7810184617412597, -0.42907892499515854, 0.45376363730946495], [-0.29682959019418653, -0.3842213676162635, -0.8742231608990004]]","[-21.365652084273787, 11.483294667564781, 1.984687022489116]",[116.79046265044065],"[0.27512013221571985, 0.8137742553882568, -0.5119378615778413, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[247.4261830986724, 0.0, 225.5389516741988, 228.46798651962138]"
2.1099999999999772,"[0.08763437067171634, 0.6108972572538144, 1.4354074443683509]","[-0.2990407922561324, 0.5707135676845103, 0.0]","[8.61330980896933, 11.380245001754073, 18.471929719642752]","[1.998556270550534, -3.439621763887122, 0.0]","[0.11643280969594869, -0.864286161319639, 0.4872955691869678, 0.0446750537595543]","[[0.5333038910069976, -0.8404109285490707, 0.09641800149393867], [-0.8101957927179463, -0.47467566588488475, 0.3438979349732707], [-0.24324830379456922, -0.2615195659831785, -0.9340437780473863]]","[-15.579136076704565, 10.540165782034459, 2.0435882662640186]",[137.80954673310225],"[0.2904219377357545, 0.8134053676772329, -0.5040107200404326, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[219.93984497862908, 0.0, 197.3378994362719, 240.55178252445404]"
2.114999999999977,"[0.130700919716563, 0.6677984822625848, 1.5277670929665645]","[-0.2890317969445172, 0.5533915492434235, 0.0]","[8.641012771272594, 11.567326172105641, 17.68243766008498]","[2.005005267056647, -3.488932334444771, 0.0]","[0.06962420226805674, -0.866539747388596, 0.49248860347179024, 0.04142839732177404]","[[0.52109433564466, -0.8527289179064309, 0.03625032310446305], [-0.831922349776261, -0.4979728581541121, 0.24480244378798388], [-0.19069844598683783, -0.15772262078710225, -0.9688950807957759]]","[-13.383250122112065, 9.67847749801375, 1.957829033500338]",[152.84256762860883],"[0.30326789030135853, 0.8130892423004417, -0.49690489106815694, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[178.32324366665074, 194.81046232081522, 152.2573360846321, 244.76514411895897]"
2.119999999999977,"[0.17390598357292597, 0.7256351131231129, 1.6161792812669895]","[-0.2789911060392756, 0.5358267949790781, 0.0]","[8.638416519695785, 11.69749961428484, 16.83779513949157]","[2.0112343921408717, -3.5367125439702374, 0.0]","[0.02848766791030918, -0.8667122429886116, 0.4965993796203511, 0.03724777565660079]","[[0.51147732669151, -0.8592907383179602, -0.003220453614183494], [-0.8477530618588698, -0.5052148918178849, 0.1614703043731387], [-0.14037695818551435, -0.07985825020883888, -0.986872316707772]]","[-12.405396177206267, 8.935943674586424, 1.7241024725245446]",[161.2351480782286],"[0.3160236110038642, 0.8125922135149611, -0.4897172365997896, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[121.67841227892319, 254.2348076424673, 85.90865951955216, 272.78907028336073]"
2.124999999999977,"[0.2170980661714049, 0.7841226111945371, 1.7003682569644474]","[-0.268919820615312, 0.5180270093732124, 0.0]","[8.608197554884683, 11.769460419767427, 15.959294745549192]","[2.017242962709447, -3.5829414344844794, 0.0]","[-0.00963948352621699, -0.8656472654678927, 0.4994470329321837, 0.033384928344179714]","[[0.5040033187386361, -0.8629397288816208, -0.03627228994915791], [-0.8586953198284092, -0.5051550178754289, 0.08637566567072946], [-0.09286012279351841, -0.01238677653750559, -0.9956021119713352]]","[-11.608624946984182, 8.330584153948397, 1.4150711183445308]",[166.24671506473518],"[0.3289165560808273, 0.811634673050469, -0.4827660475201071, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[77.8048533600589, 276.22595822457237, 0.0, 290.2903586054901]"
2.129999999999977,"[0.2601390539458283, 0.8429699132933742, 1.7801647306921933]","[-0.2588190451025678, 0.5000000000000844, 0.0]","[8.550566161651197, 11.783699231986782, 15.057598294941528]","[2.0230303198548985, -3.6275987284682314, 0.0]","[-0.04525259382217108, -0.8637396313600486, 0.5010170966572298, 0.02979800039487827]","[[0.4988762157093848, -0.8640462896739994, -0.0674279667502969], [-0.8653335435411901, -0.5009194833051723, 0.01665922170232316], [-0.04817032096562595, 0.05003679192229331, -0.9975850538336039]]","[-10.886525229012458, 7.905561672022265, 1.0901878054108805]",[169.15249065379987],"[0.34179067637052096, 0.8102080794271276, -0.4761743394778713, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[65.1937483142465, 282.3746483896609, 0.0, 294.8837724136441]"
2.1349999999999767,"[0.3028918847540843, 0.9018884094533082, 1.8554527221669008]","[-0.24868988716490176, 0.48175367410180026, 0.0]","[8.467882860996582, 11.74243933825474, 14.159573206879102]","[2.028595828928299, -3.6706648377564215, 0.0]","[-0.078698872354249, -0.861241203257274, 0.5013804363356137, 0.026224708998234075]","[[0.4961878960592539, -0.8627997711264305, -0.09682007409866358], [-0.8681935183607598, -0.4938681432190514, -0.04831430212403033], [-0.006130781406691377, 0.10803153270016193, -0.9941285638496651]]","[-10.227975135826084, 7.265272523468086, 0.7742036788302]",[170.33925326264193],"[0.35459988118958424, 0.8083762393965329, -0.4698795375832535, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[80.0180697439134, 280.89985212172877, 0.0, 292.3871198494777]"
2.1399999999999766,"[0.3452312990590672, 0.9606006061445819, 1.9262505882012964]","[-0.2385334575786286, 0.4632960351199488, 0.0]","[8.362235836338197, 11.649416241403198, 13.270850812857917]","[2.0339388796088596, -3.7121208721301615, 0.0]","[-0.1098239678153447, -0.8583111024129387, 0.500700238537794, 0.023238302351424947]","[[0.4958598453957352, -0.8594912705067234, -0.1240877497856102], [-0.8677466906106407, -0.48484829110015865, -0.10926031096210986], [0.0337445500547663, 0.16185453512334624, -0.9862375042562552]]","[-9.620693697463617, 6.746925710880656, 0.4861346826903664]",[170.2779280644781],"[0.36706814488899375, 0.8062418887305364, -0.46393425597165167, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[95.66917769886739, 274.8485025278224, 63.00097964082112, 285.6825401129916]"
2.1449999999999765,"[0.38704247824075816, 1.018847687351598, 1.992604842265586]","[-0.22835087011070335, 0.4446351791850151, 0.0]","[8.235538858351488, 11.50971197070315, 12.39772280144404]","[2.0390588859708636, -3.7519486476026462, 0.0]","[-0.13888153255324331, -0.8550835770061578, 0.4991163299168287, 0.020661206653342507]","[[0.49751850486404, -0.8544089022965384, -0.14986915958353367], [-0.864617392574643, -0.4744759344429808, -0.1652554147127595], [0.07008638794570674, 0.21179710883504693, -0.9747973547942359]]","[-9.061698442730076, 6.3286108408536865, 0.23677811161668988]",[169.07678449493264],"[0.37920302084620783, 0.803847255228334, -0.4582953842697789, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[114.8529454984, 265.7889975794239, 94.9107495987085, 276.1045884834412]"
2.1499999999999764,"[0.4282201725325156, 1.0763962472051136, 2.0545934562728063]","[-0.21814324139659091, 0.4257792915651623, 0.0]","[8.090311981697775, 11.328659879676831, 11.546807930225134]","[2.0439552865479156, -3.790130694395227, 0.0]","[-0.16609839118726896, -0.8516435456845114, 0.49676741000091906, 0.018350365116076153]","[[0.5009120074999667, -0.847833433366104, -0.1739701986232058], [-0.8593112735437658, -0.4631896182520357, -0.21688594399850994], [0.10330196466159167, 0.25813532654438787, -0.9605700689105806]]","[-8.548176960716846, 5.95256263067365, 0.02665845640187836]",[166.95603937114797],"[0.3910041246287327, 0.8012557540411992, -0.4528851853827721, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[131.73569748491008, 255.80531529773236, 116.59250357563891, 265.6531086863178]"
2.1549999999999763,"[0.46867173244100446, 1.1330395466034977, 2.1123274959239318]","[-0.20791169081780844, 0.40673664307589197, 0.0]","[7.929248693010505, 11.111468252018952, 10.72301061362632]","[2.0486275443945154, -3.826650264600256, 0.0]","[-0.19162724569055953, -0.848046415831404, 0.4937928296106031, 0.016276262768612732]","[[0.505770808922171, -0.8400415846204298, -0.1962804752149591], [-0.8522334491143467, -0.45126692961195947, -0.26468151890386876], [0.1337685951667172, 0.3011449723090062, -0.9441491770902153]]","[-8.076059940218297, 5.608963216556331, -0.14755896105784178]",[164.11544603290687],"[0.4024554828858388, 0.7985169092434716, -0.4476609542358809, 0.0]",[0.5],"[20.0, 0.0, 0.0]","[144.8091205565046, 245.856571171484, 132.41483019350628, 255.2775426730375]"
